Especial|1|2|3|APF|EPF|PPF||||cumprir| as medidas de segurança orgânica e auxiliar na fiscalização do seu cumprimento;
Especial|1|2|3|APF|EPF|PPF|||28|operar| máquinas, veículos, aparelhos, dispositivos, instrumentos, equipamentos e sistemas necessários às atividades técnico-administrativas e de apoio logístico da atividade de inteligência;
|||3|||PPF|||22|realizar| o levantamento de dados estatísticos das atividades de identificação civil e criminal, e de polícia judiciária e administrativa da polícia federal;
|||3|||PPF|||19|promover| intercâmbio de informações inerentes a identificação civil e criminal, com os órgãos estaduais de identificação;
Especial|1|2|3||EPF||||12|prestar| informações solicitadas/requisitadas por autoridades competentes;
|||3|||PPF|||3|analisar, classificar, subclassificar, pesquisar e arquivar |impressões digitais, por meios convencionais e eletrônicos;
|||3|||PPF|||12|executar| a identificação papiloscópica de padrões para confrontos de interesse pericial, civil e criminal, quando solicitado por autoridade competente;
|||3|||PPF|||13|executar| a identificação necropapiloscópica em cadáveres de estrangeiros, a fim de instruir processo de translado, de interesse na apuração de crimes, atendimento a consulados, embaixadas e outros organismos internacionais;
|||3|||PPF|||9|executar| a identificação funcional dos servidores da polícia federal;
|||3|||PPF|||11|executar| a identificação datiloscópica e fotográfica de estrangeiros, de acordo com a legislação vigente;
|||3|||PPF|||10|executar| a identificação criminal papiloscópica e fotográfica de indiciados em inquérito ou acusados em processo criminal, quando solicitada por autoridade competente;
Especial|1|||APF|||||21|orientar| funcionários policiais visando ao desenvolvimento técnico das operações a serem desencadeadas; 
Especial|1|2|3||EPF||||15|cumprir| as formalidades processuais, lavrar termos, autos e mandados, observando os prazos necessários ao preparo, à ultimação e à remessa de procedimentos policiais de investigação;
Especial|1|||APF|EPF|PPF|||23|supervisionar e acompanhar| a execução de programas previstos em plano de segurança orgânica;
||2|||EPF|||||acompanhar| a execução de programas previstos em plano de segurança orgânica;
Especial|1|2|3|APF|||||34|participar| de execução de programas e atividades relacionadas com a formação, treinamento e especialização policial ou afins, conforme diretrizes definidas para a unidade de ensino do órgão;
Especial|1|2|3|APF|EPF|PPF|||47|participar| de eventos nacionais e internacionais de interesse da atividade policial;
|1|2|3|||PPF|||17|participar| de eventos nacionais e internacionais de interesse da atividade policial e de identificação criminal e civil;
|1|||APF|EPF|PPF|DPF||0||estudos visando à modernização da instituição e dos trabalhos policiais e intercâmbio policial em níveis nacional e internacional,
Especial||||||PPF|||4|planejar, desenvolver e supervisionar| estudos e projetos de pesquisa, visando ao estabelecimento de novos métodos e pesquisas no campo da identificação papiloscópica;
||2||||PPF|||15|desenvolver| estudos e pesquisas no campo da identificação civil e criminal, e de polícia judiciária e administrativa da polícia federal;
